gene	tissue	cos.part	sin.part	amp	phase	pval	int.array	int.rnaseq	pval.adj	relamp
Fabp7	Hypo	0.505693461119037	0.822599491650637	0.965606441715483	3.89459047217448	1.03707231820402e-12	11.7559298164725	12.0729012930285	1.97168189136948e-08	1
Dbp	Hypo	-0.424082744634072	0.356306002872683	0.553895425129578	9.33091211346781	5.31342009386933e-12	12.1475388598339	12.5998810879331	1.0101342940455e-07	0.573624409697946
Per3	Hypo	-0.287235364475132	0.0667445572887104	0.294888098323462	11.127893017543	4.413901331566e-10	10.4696491021259	10.9490039251842	8.39082643130697e-06	0.305391602193092
Nr1d1	Hypo	-0.187125394658825	0.431922637995216	0.470715496387114	7.56160697129387	4.16824153468211e-09	11.5747872196774	12.0903448234273	7.92341033327722e-05	0.487481727597889
Mt2	Hypo	-0.180075988539033	0.347891488002317	0.391734411397283	7.82446928010518	1.00529144007044e-08	14.0202406030541	14.5779011357255	0.00019108579692859	0.405687446224295
Dock5	Hypo	0.100382111059568	-0.239181427236215	0.259392219149935	19.5178211667317	2.2021592238865e-08	7.64175978599742	8.15996411903526	0.000418564403684108	0.26863140917857
Per2	Hypo	-0.316073278787182	-0.0322035203661924	0.317709591116251	12.3878384682772	4.63890494766533e-08	9.38259430856511	10.0690787749757	0.000881670274353272	0.329025964814208
Stip1	Hypo	0.24713963267523	-0.15134887850254	0.289800760976959	21.9011067759523	5.07836937463538e-08	14.1342053624201	14.093334063098	0.000965144099649454	0.30012306096685
Mmp14	Hypo	0.460892572251141	0.207474819622224	0.505438190022823	1.61568722602052	5.96991271330035e-08	9.30795010259967	10.2042709315987	0.0011345222120356	0.523441195281246
Slc38a2	Hypo	-0.133093642721769	-0.375738551645251	0.398614321023995	16.6996599747265	6.98975987155767e-08	11.6201578551174	12.2352929616514	0.0013282640683921	0.412812408661879
Pdia4	Hypo	0.186137579726056	-0.277556368568802	0.334192663473294	20.2564656061472	8.43830900995352e-08	11.010967392327	11.526404237701	0.00160344747807137	0.34609614128047
Slc7a5	Hypo	-0.217331623706541	0.167558530517702	0.274424663272406	9.49123087820582	9.46356900299116e-08	11.1337326864547	11.4321763745059	0.00179817274625835	0.284199288050385
Arntl	Hypo	0.248888168346575	-0.0677849481339305	0.257953715880258	22.9843298735618	1.09330743224375e-07	10.0437886495732	10.6578885632663	0.00207728412126312	0.267141668423401
Hsph1	Hypo	0.342629400255706	-0.390863906669829	0.51977831760933	20.7491765082934	1.58128602405901e-07	14.2889344680717	13.814126819859	0.00300428531710971	0.538292098265106
Tubgcp2	Hypo	-0.0787387597322657	0.332422455811029	0.341620376165724	6.88837961046278	2.07196539783538e-07	11.1295730363457	11.0540598872224	0.00393631986280765	0.353788418766973
Calr	Hypo	0.269032337547842	-0.166168947002508	0.316212772661666	21.8865516744912	2.79559997395884e-07	14.73766688965	15.2861586676033	0.00531080127052962	0.327475831768362
Chordc1	Hypo	0.467334383858809	-0.558678781623205	0.728370377879744	20.6608304445103	4.04412688951026e-07	12.5498493781125	12.5056361459991	0.00768222343931369	0.754313917568457
Dnajc28	Hypo	0.0412741928123415	-0.25315174877422	0.256494379859981	18.6173400353254	5.85948469392116e-07	8.74496796814832	9.65162864943498	0.0111300911761032	0.265630352884034
Zbtb40	Hypo	-0.101303961895221	-0.471164230670881	0.481931763799971	17.1910463544179	9.26845627609278e-07	7.27283401221763	8.04504974609045	0.0176045058508106	0.499097502854038
Nr1d2	Hypo	-0.227355553193253	-0.0202916824928212	0.228259282278289	12.3400123332039	9.84660599858043e-07	11.4908501021546	12.1728134696937	0.0187016587731038	0.23638956040182
Cdh19	Hypo	-0.185016933380463	-0.266948112938799	0.324796183227415	15.6849911128326	1.16847735001309e-06	9.13366549683494	9.51277132884123	0.0221917218314486	0.336364971478842
Mpdz	Hypo	0.0795777148232405	-0.232043146766719	0.245309263294092	19.2619384982721	1.19149609916897e-06	11.1786680031184	11.6491721257001	0.0226277024193178	0.254046838024691
Anln	Hypo	0.0669828199191675	-0.402875408680373	0.408405794625518	18.6293169720261	1.20568988519497e-06	10.4569400704074	10.745500915197	0.0228960509198525	0.422952640933039
Uba6	Hypo	0.152376439475177	-0.250197434941517	0.292945960474704	20.0894967141464	1.53618429786259e-06	9.77528032401454	9.56720086384143	0.0291706036321127	0.303380288095697
Cirbp	Hypo	-0.392412523087866	0.387439895223339	0.551450143428086	9.02435561069619	1.56815112458952e-06	13.9834180582628	13.7444234410291	0.0297760535537059	0.571092030463661
Gm9996	Hypo	-0.117656339884133	0.213803591064452	0.244038910559333	7.92160232091869	1.75460843010256e-06	7.85839232275127	8.00128686067727	0.0333147502623573	0.252731237092595
Rad51c	Hypo	0.20756381842502	-0.266793487840718	0.338025892312098	20.5255142242594	2.13523203465425e-06	8.13281033183499	8.55715104468747	0.0405395154099456	0.350065904398448
Rab34	Hypo	-0.131040029382747	0.274688508050115	0.304343992474682	7.70023032097131	2.21741187217355e-06	10.854149946039	11.5360547313331	0.0420975643932149	0.315184302140724
Ahsa1	Hypo	0.173085171213062	-0.29671388846656	0.343507799187735	20.0171156894824	2.36327631924042e-06	13.3302102134936	13.6530149472938	0.0448644376444601	0.355743069171601
Mapk12	Hypo	-0.167545426208578	0.170518946881333	0.239056857439675	8.96640367830112	2.3949787767572e-06	8.43876172495409	9.47881891374939	0.0454638821191819	0.247571730170906
Txnrd3	Hypo	-0.0633758993020443	0.318602073478046	0.324844248582075	6.75002314163652	2.40501744028968e-06	8.48126975099843	9.15486015158827	0.0456520410515788	0.336414748854576
