gene	tissue	cos.part	sin.part	amp	phase	pval	int.array	int.rnaseq	pval.adj	relamp
Nr1d1	Cere	-0.532102633019946	0.519040236980257	0.743327639517918	9.04746463194148	2.82387244665645e-13	12.5354231149411	12.9897830417858	5.36874629558325e-09	0.874078710292279
Dbp	Cere	-0.700561085934388	0.34053908443292	0.778943324736775	10.2717237012744	1.60004127104174e-12	12.1054779004286	12.3844904941745	3.04183846037745e-08	0.915959182034811
Per2	Cere	-0.649789121750739	-0.497576919469408	0.818418409821201	14.4962091016617	2.10814085297377e-11	10.3488243965713	10.8688119451837	4.00757576150313e-07	0.962377920724053
Per3	Cere	-0.341040948117505	-0.0813319207745254	0.350604919574384	12.8942289383085	2.86963139973798e-11	10.7783016729825	11.3079602714831	5.45488232776193e-07	0.412276201813855
Rhoj	Cere	0.302485145582441	-0.0943659621681236	0.316863058929163	22.8449134246308	3.73626536651472e-10	8.11006883154486	9.32131479041482	7.10189320867118e-06	0.372599159729473
Mmp14	Cere	0.573169994415455	0.0944813711285723	0.580904959514504	0.62403089030884	1.51821557174871e-09	9.3089738119736	10.0778739470709	2.88567233722277e-05	0.683085937910408
Tef	Cere	-0.489246923252942	0.0148023323818693	0.489470796837169	11.8844683544931	1.72635378529738e-09	14.1826209235335	14.770795441024	3.2811080043362e-05	0.575568538124908
Arntl	Cere	0.57627706678849	0.127798501536546	0.590277658988829	0.833592051956253	3.73433947037128e-09	11.1366304565076	11.4450648335175	7.09711216344062e-05	0.694107291931076
Paqr8	Cere	-0.00906949969492138	-0.360810807891457	0.360924777365038	17.9040060809638	4.31881425713912e-09	13.2738889552468	12.8632125741884	8.20747461426718e-05	0.424411318966104
Ptpn22	Cere	0.170221830621371	-0.304069527403649	0.348473455395915	19.9493756180847	5.13093244527261e-09	12.5398725250118	12.4987602849603	9.75031092575154e-05	0.40976981383485
Mt2	Cere	-0.326115214560495	-0.192132536807717	0.378505013002479	14.0336463165147	1.38271635583884e-08	14.3518256757286	14.7137068725216	0.000262743761936496	0.445083911878933
Tcf4	Cere	0.143133378864499	-0.189373512490991	0.237380478090225	20.4721951640295	2.16442828053389e-08	13.1104613347801	13.3931683946968	0.000411263017584244	0.27913562083099
Vstm4	Cere	0.372603771317726	-0.038129953012814	0.374549681239954	23.6104697171403	3.13554336367268e-08	8.85641905269837	8.92676042487886	0.00059575323909781	0.440432838648282
Dusp11	Cere	0.0588431236138869	-0.33845187073775	0.343529011878941	18.6575224985797	3.23528904135463e-08	13.1976140212631	13.9242054227848	0.000614672564966965	0.403955644439463
Hlf	Cere	-0.32330232523269	-0.114161474951046	0.342866206943557	13.2965777246633	4.44561138168684e-08	11.5928281722706	12.3770875652863	0.000844577250292867	0.403176252348687
Cpne2	Cere	-0.0304416727691763	0.26140491342574	0.263171473005917	6.44282725830946	6.75384273135303e-08	11.0374802759037	11.5612206682871	0.00128302750367514	0.309463242695937
Fabp7	Cere	0.443795903962305	0.524242847195839	0.686866338678581	3.31670242924349	7.45215879975476e-08	11.4723761997304	11.4462466996112	0.00141561208560141	0.807685886461486
Bbs9	Cere	0.163904177041951	-0.264278626467412	0.310978731843997	20.120464398701	7.74437057569307e-08	10.5767348536791	9.89248883129234	0.0014710431908529	0.365679781576287
Bhlhe41	Cere	-0.390246247667947	0.0717508872136877	0.396787504383472	11.3054613514891	9.61184946535624e-08	10.9576661756488	11.5122893463873	0.00182567468744976	0.466582287074012
Lonrf3	Cere	0.189553422421103	-0.53792723742175	0.570347449114791	19.2940871869366	1.23643632263937e-07	8.60772187375126	9.03260574266682	0.00234836350758895	0.670671365138616
Atxn1	Cere	0.132645005615637	-0.323387894060187	0.349534587043192	19.4868078563006	1.37224968960584e-07	9.7032677236876	9.65211151622437	0.00260617661049941	0.41101759816627
Vat1l	Cere	0.199329847728914	0.16823470936951	0.260835782883169	2.67762794442193	1.51819776751971e-07	12.5297473310632	12.839941614817	0.00288320938029668	0.306716705500766
Asxl3	Cere	0.260476695903408	0.153408443769315	0.302294987931457	2.03307142974091	1.57825647592427e-07	5.89225973263019	6.40084516842575	0.00299710904778019	0.355468570158797
Fmo2	Cere	-0.506768051746373	-0.0847112586784831	0.513799431313141	12.6326541471681	1.70281234997513e-07	7.70642231664484	8.03111584481635	0.00323347037136777	0.60417657086229
