gene	tissue	cos.part	sin.part	amp	phase	pval	int.array	int.rnaseq	pval.adj	relamp
Dbp	BS	-0.697525839025515	0.38265387064628	0.79559178026726	10.0834255530853	6.25030660831398e-15	11.9240221985656	11.8840284143856	1.18830829237265e-10	0.805930110027634
Nr1d1	BS	-0.229413854599646	0.477657022143865	0.529893335951314	7.71030034011915	3.78197801447548e-14	10.9898300609938	11.2570917563925	7.18991840331934e-10	0.536779043145334
Fabp7	BS	0.189029734093122	0.948431553948699	0.967085649204278	5.2485474367455	2.09077989131118e-13	12.4719214186766	12.2600803560061	3.97457257338255e-09	0.979652458711335
Arntl	BS	0.418363379096563	-0.0740387637132523	0.424864278918905	23.3309426828252	6.13333964373026e-13	9.25127153443789	9.87182188395965	1.16588653287669e-08	0.430385184398084
Per3	BS	-0.438066198043292	-0.014465372502641	0.438304963318629	12.1260850156771	1.71111084650568e-11	9.94328003481395	10.6115791315775	3.252479497038e-07	0.444000523980247
Gpr17	BS	0.202847035776729	-0.433747198778116	0.478835621451943	19.6709133627168	1.05356646048612e-10	10.2864599441674	10.476395069199	2.00251377144598e-06	0.485057858380938
Per2	BS	-0.498630210381859	-0.102715656412812	0.509099786660505	12.7759907712439	2.27347092775421e-10	8.81564813314694	9.49521428357539	4.32095884528966e-06	0.51571529175492
Calr	BS	0.255781486988229	-0.269753010889892	0.371740307163578	20.8984753184848	2.42385931541759e-10	14.3972817947063	14.7717105748696	4.60654462895113e-06	0.376570892365689
Opalin	BS	0.121905824302652	0.474791642899022	0.490191936047158	5.03999962157762	4.14938228233564e-10	12.0200288395563	11.6976315998861	7.88548608935066e-06	0.496561742782755
Tspan4	BS	-0.467481038049452	0.297033395028015	0.553865830953366	9.83789848092697	4.84548912585747e-09	9.72534373442574	10.8458488976487	9.20788298586694e-05	0.561063049106469
Mpzl2	BS	-0.568841610033198	-0.179082003227728	0.596364939600926	13.1649986178077	6.50437697869365e-09	7.75697138419083	7.82094098250865	0.000123596171349137	0.604114413082225
Ifitm1	BS	-0.355215143029316	-0.222842857252728	0.419328912508901	14.1401297774303	1.04941274883021e-08	10.0080905186279	10.3156019707298	0.000199398916405228	0.424777888583188
Mmp14	BS	0.56941822487033	0.0700250713622484	0.573707787496183	0.467388987239429	1.32193272916709e-08	8.90002364734396	9.76230980234279	0.000251167218541746	0.581162842262131
Islr	BS	-0.49595821722267	-0.0359632886765163	0.497260405987768	12.2764943260112	1.75752702008062e-08	9.40906040954806	9.79585966577855	0.000333912558545118	0.503722064065925
Nr1d2	BS	-0.30424055547171	0.0602838666449405	0.310155541900189	11.2528185104357	1.89023286643902e-08	11.878143383835	12.6385398439495	0.000359106439966085	0.314185862912423
Unc5b	BS	0.238446219305287	0.246326100101347	0.342831076613722	3.06208332412315	2.00597457407857e-08	10.5769784061966	10.7198623084385	0.000381074989837705	0.347286000369905
