	init	U	tau.w	L	tau.s	tau.mrna	logL	bic	convergence	msg	min.tau	max.tau	UL.delta	genelab
Cml5	1.84602858385499	2.62564917045908	16.5929759885136	0.741727208068719	3.97383309149018	1.11287468223993	-10.5926725558109	45.3374552560326	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.9738331	16.592976	1.88392196239036	Cml5
Dusp5	3.59220368182717	4.60382160234962	11.2542721926797	2.72961957918626	2.72667987857789	0.952578931395643	-24.7517372065392	73.6555845574893	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.7266799	11.2542722	1.87420202316336	Dusp5
Klf10	5.03027338181926	5.69325553021655	8.16231976181667	3.83765107792248	4.05683620853172	0.975764967913507	-18.3658845761177	60.8838792966464	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.0568362	8.1623198	1.85560445229407	Klf10
Pla2g4e	2.92454787836067	2.32433441055928	3.74599014169478	4.17562029789993	0.797253174472645	0.973965749700286	4.82629382135848	14.4995225016939	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.7972532	3.7459901	-1.85128588734065	Pla2g4e
Vwa3a	2.58996908417256	1.66402309791427	7.79009697491391	3.49025894115046	0.547661174619376	0.921768678648716	-9.58346012360221	43.3190303916153	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.5476612	7.790097	-1.82623584323619	Vwa3a
Homer1	7.67776543261229	8.22020032513881	7.53141847050236	6.42368706652032	1.72003922647334	1.02221187704226	4.49675648780752	15.1585971687959	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.7200392	7.5314185	1.7965132586185	Homer1
Map3k19	1.57899748443039	2.38082871541737	17.9890926466548	0.58601988125909	2.13646953348908	1.24939143109204	9.51420894003294	5.12369226434501	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.1364695	17.9890926	1.79480883415828	Map3k19
Bdnf	4.45748945334026	5.10920885430103	10.302711243845	3.35361934112102	5.31538551179839	0.983618832716994	-7.78839149173321	39.7288931278773	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.3153855	10.3027112	1.75558951318001	Bdnf
Ccdc116	1.11759806841921	0.611480219984317	8.53118045611742	2.35946683511356	3.45421122225116	0.949000813929985	-1.52732046813279	27.2067510806765	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.4542112	8.5311805	-1.74798661512924	Ccdc116
Nr4a2	4.45541941852467	4.77631595982868	5.80447283680486	3.03030827210812	2.56412824648646	1.03064608394594	-29.8058284143013	83.7637669730134	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.5641282	5.8044728	1.74600768772056	Nr4a2
Midn	5.51535521853514	6.08410449739008	6.93173871850198	4.34258390272439	4.11149394819663	0.974526597588161	-1.58239157099808	27.316893286407	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.1114939	6.9317387	1.74152059466569	Midn
Dusp6	6.04228444822429	6.50672261822052	6.64597276275815	4.79468822829804	3.70961421836177	0.992844048472312	-13.4103512949831	50.9728127343771	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.7096142	6.6459728	1.71203438992248	Dusp6
Hist1h2be	2.10562649646017	2.82642757649641	19.6874177090896	1.11542722673464	4.54571607367361	1.10455499383494	1.607260011527	20.9375901213569	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.5457161	19.6874177	1.71100034976177	Hist1h2be
Igsf9b	4.57341149393743	5.17648209830419	9.68848549515728	3.50414820005895	2.24003296318145	1.02401991816354	-25.8076243895177	75.7673589234464	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.240033	9.6884855	1.67233389824524	Igsf9b
Bace2	0.882104042274954	0.226731496459263	4.57853363796234	1.8499632988258	0.651214900246069	0.908045730736153	11.6963675077555	0.759375128899883	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.6512149	4.5785336	-1.62323180236654	Bace2
Irs2	4.46194342113521	5.29962730981823	10.1524648134014	3.68097179994235	0.924434178222112	1.02699838823811	7.64367413480113	8.86476187480864	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.9244342	10.1524648	1.61865550987588	Irs2
Tm6sf2	2.92468389257534	2.84143666612723	0.570631127894214	1.25244123149208	0.480898346962988	1.08227851245512	-21.5898176878235	67.331745520058	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	0.5706311	1.58899543463515	Tm6sf2
Dnajb5	7.40831565627367	7.9787154399758	7.02311654200708	6.39341251667031	3.48316394132918	0.98104874739701	0.24582669564809	23.6604567531147	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.4831639	7.0231165	1.5853029233055	Dnajb5
Pcsk1	5.10396738720314	5.72412062389922	10.1201981733959	4.14145872306282	3.83737389911294	0.993592032372395	13.1568415422029	-2.16157293999484	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.8373739	10.1201982	1.5826619008364	Pcsk1
Pim1	2.12060751819866	2.91000209327484	21.1947935656425	1.33144788538	4.74292530221947	1.04939227983312	5.22253271693417	13.7070447105425	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.7429253	21.1947936	1.57855420789483	Pim1
Dok3	3.45700265471208	3.85575356858505	5.31132356291973	2.27941361075587	1.50209877189647	1.03481451911507	3.62888774145712	16.8943346614967	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.5020988	5.3113236	1.57633995782918	Dok3
Cbfa2t3	4.26295689547878	4.78290249228447	7.21689377891751	3.21634055019957	2.37823328656834	0.998509285306764	10.2673454180836	3.61741930824378	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.3782333	7.2168938	1.56656194208489	Cbfa2t3
Hist2h3c1	2.35600657598106	2.74014262587412	8.04681268568893	1.18065482558277	4.1050524633483	1.02412385630737	9.36680840062274	5.41849334316541	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.1050525	8.0468127	1.55948780029134	Hist2h3c1
Sgsm1	6.16224705758976	6.69978467096483	8.06451542918664	5.14659499134302	1.5554271462204	1.0220748109675	-1.05628245285087	26.2646750501126	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.5554271	8.0645154	1.55318967962181	Sgsm1
Fndc9	1.60322318681598	2.39983895587309	20.4778782444002	0.850830672130756	5.98861365622955	1.00551578221857	-7.99147643399708	40.1350630124051	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.9886137	20.4778782	1.54900828374233	Fndc9
Lsp1	1.99007874543831	1.30035435410479	19.5227427988784	2.84771125233994	2.67670710854443	0.889871547373674	-0.273269353730619	24.6986488518721	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.6767071	19.5227428	-1.54735689823514	Lsp1
Plk3	3.79504436720171	4.34007625126946	5.70554012445813	2.80176388640289	5.58609438655966	0.927811062278696	-5.05616037554036	34.2644308954916	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.5860944	5.7055401	1.53831236486657	Plk3
