	init	U	tau.w	L	tau.s	tau.mrna	logL	bic	convergence	msg	min.tau	max.tau	UL.delta	genelab
Gpr137c	4.52109850111084	4.19733688196204	13.8868347534643	4.9439272027437	0.84538855924561	0.96027744337589	46.0089151471886	-67.8657201499663	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.8453886	13.8868348	-0.74659032078165	NA
Catsperd	0.418668960853374	0.0366974783611983	22.5753334899066	0.783195690743537	19.5810540585945	1.24577366764058	35.5352221295845	-46.9183341147581	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	19.5810541	22.5753335	-0.746498212382339	NA
4930451G09Rik	0.901824177181681	0.589311695679792	7.78486138010766	1.33397809014672	0.480898346962988	0.82920759926948	33.2193410320146	-42.2865719196182	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	7.7848614	-0.744666394466931	NA
St8sia5	5.76996719936287	6.04764053289389	9.68618598955175	5.30320844047049	0.899381798637435	1.02894063644431	38.2092129060303	-52.2663156676498	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.8993818	9.686186	0.744432092423398	NA
Gpr153	3.63570699474429	3.53938762470268	0.480898346962988	4.2837374469055	1.20400266908622	1.0209836273086	20.0405170243162	-15.9289239042215	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	1.2040027	-0.744349822202821	NA
Ehhadh	1.21323933735899	0.853470633475677	18.8947121312774	1.5968751308207	0.887974788127004	0.863393818100239	38.6673391375464	-53.1825681306819	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.8879748	18.8947121	-0.743404497345026	NA
Sh2d5	5.74698495736783	6.12719174544027	11.1531808893044	5.3839404852418	0.480898346962988	1.03071620265793	44.2489487232254	-64.34578730204	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	11.1531809	0.743251260198463	NA
Gm166	1.8829356536619	1.55403533451371	14.2294062146098	2.29649062301605	3.86414015615493	0.988913863539764	49.7950890651784	-75.4380679859459	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.8641402	14.2294062	-0.742455288502333	NA
Gm12696	3.55600761534077	3.83870442598156	6.5745733212748	3.09630757117857	4.4386908995797	0.967608952805583	34.7515492514916	-45.3509883585723	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.4386909	6.5745733	0.742396854802992	NA
Rasl11b	5.74443452503203	5.65036397439876	1.43907531254673	6.39164474602658	1.55286412038858	1.00132460221747	43.3352987351581	-62.5184873259053	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.4390753	1.5528641	-0.741280771627815	NA
C130074G19Rik	5.61135261647378	5.35760945843372	9.92282248619399	6.09789421928766	2.33055618260382	0.988981314550883	45.1651193294021	-66.1781285143933	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.3305562	9.9228225	-0.740284760853945	NA
Krt12	5.18584266355091	4.9235503742826	3.22057047037016	5.66319543504694	7.12835111095596	1.04166729838733	36.8988584433199	-49.6456067422288	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.2205705	7.1283511	-0.739645060764332	NA
Ccnd2	5.09186110257857	5.45412432312159	0.480898346962988	4.7146784816878	1.01035389282604	0.937130320122136	18.7409017173119	-13.329693290213	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	1.0103539	0.739445841433793	NA
Nt5dc2	1.38260462526055	1.09643333610468	9.97469939496891	1.83507194580076	12.4801370971299	1.10115926917115	30.6242488773486	-37.0963876102863	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	9.9746994	12.4801371	-0.738638609696089	NA
Gpr17	4.27983553359877	4.59316760370793	0.480898346962988	3.85480471767691	0.532863553656714	0.939734311445019	30.5113477738468	-36.8705854032826	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	0.5328636	0.738362886031024	NA
Grb10	4.33171916511648	4.06560232209956	6.69931512978646	4.80157941802588	0.480898346962988	0.957921507165224	36.379976528192	-48.6078429119732	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	6.6993151	-0.735977095926325	NA
Cep131	4.49160877059848	4.29365096887106	5.74642106321012	5.02922981774943	3.13000722355647	1.0066696324121	40.9034700463871	-57.6548299483633	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.1300072	5.7464211	-0.735578848878374	NA
Smad3	5.13845027755375	5.59883046529038	6.68843508469901	4.8637364406726	0.480898346962988	0.999951892586746	24.313916080095	-24.4757220157792	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	6.6884351	0.735094024617777	NA
Ccne2	2.72093156705211	2.54975725312985	6.971736633481	3.28374465844388	3.58263878430161	0.994550152899831	30.4302867216562	-36.7084632989015	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.5826388	6.9717366	-0.733987405314037	NA
Atad5	1.53363371506238	1.23439475138967	11.4195638750995	1.967665613439	6.01323510767631	1.0325653781483	37.0625428549958	-49.9729755655808	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	6.0132351	11.4195639	-0.733270862049331	NA
Blnk	3.20586032713475	3.73983670060569	11.226445299429	3.0072066555502	1.15728671911288	0.966291501462509	28.4850565902284	-32.8180030360459	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.1572867	11.2264453	0.732630045055491	NA
Dok4	2.97250627238975	3.18563043300811	0.480898346962988	2.45334598648989	2.64871059556415	0.935517747545667	38.9987796209683	-53.8454490975257	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	2.6487106	0.732284446518225	NA
Atg4a	3.52414128811899	3.29845312487117	5.15591029015134	4.0301265348266	4.356475254065	1.02932917202719	35.5065353660638	-46.8609605877167	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.3564753	5.1559103	-0.731673409955428	NA
Gucy2g	2.48876818652258	2.28053149832801	6.6281875146891	3.01210603163149	1.44520118697642	0.973298962263812	31.8191910819602	-39.4862720195094	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.4452012	6.6281875	-0.731574533303481	NA
Gpr55	0.579825753379139	0.74773115787614	34.6087014332269	0.0165418544533224	0.480898346962988	6.36120590343748	31.9585024191409	-39.7648946938708	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	34.6087014	0.731189303422817	NA
Zgrf1	2.35508343159778	2.11487872397146	2.94363869766293	2.84572800607015	8.180364205583	1.09369319839799	27.9169643749868	-31.6818186055627	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.9436387	8.1803642	-0.730849282098683	NA
Mansc1	3.49919148040577	3.18068719068672	8.73294961313761	3.91105644349051	1.16528758145982	0.984085624550817	62.7834215382223	-101.414732932034	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.1652876	8.7329496	-0.730369252803789	NA
Spata2l	4.90766556922147	5.18196918630197	5.62026825900705	4.4520045564257	3.08996475755947	0.978843284633865	27.0677717489636	-29.9834333535163	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.0899648	5.6202683	0.729964629876267	NA
Armcx5	4.49904785855532	4.33518651576244	3.48674506504831	5.06493976774218	0.800449168493345	0.98018287673047	56.2653812719692	-88.3786523995275	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.8004492	3.4867451	-0.729753251979745	NA
Paox	2.46311827543135	2.18771228970997	13.4342014174649	2.91722623892595	4.77008796651032	0.989067297687118	31.6239880071487	-39.0958658698865	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.770088	13.4342014	-0.72951394921598	NA
Dcx	3.92756152824477	3.48824740245455	4.88987965082399	4.21765449728041	0.917163346245596	1.0381816280331	18.6742149583321	-13.1963197722533	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.9171633	4.8898797	-0.729407094825869	NA
Slc25a25	5.19725989496641	5.56321946831542	23.0826653996304	4.83400101257504	0.835633064277065	1.0405569372507	44.9581194270972	-65.7641287097835	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.8356331	23.0826654	0.729218455740382	NA
9230110C19Rik	3.42272774547375	3.821980441481	8.46319145250575	3.09280321976497	0.480898346962988	1.03100586467513	42.7043417947263	-61.2565734450416	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	8.4631915	0.729177221716033	NA
Shank1	8.09000220413698	8.28439015761384	9.51738095489453	7.55556522416444	8.20450521817376	0.998129662291482	31.1025141498207	-38.0529181552305	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	8.2045052	9.517381	0.728824933449398	NA
Fxyd5	5.94020227656288	6.01424826167404	4.25571641486745	5.28570772735887	2.13916716097677	1.01249173321365	32.012303227323	-39.8724963102351	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.1391672	4.2557164	0.72854053431517	NA
Klhdc8a	2.43881596970364	2.22995156763885	10.6640791544004	2.95846356563145	0.566148674571869	0.892515853497729	37.8486644809064	-51.5452188174019	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.5661487	10.6640792	-0.728511997992597	NA
Wnt9a	3.60453935484989	3.51089578206627	3.28957432963491	4.23924179259997	1.07306628617534	0.968712641444164	31.9824905121031	-39.8128708797953	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.0730663	3.2895743	-0.728346010533703	NA
Pik3ip1	4.51148818872404	4.24303329594061	10.6344754181854	4.9707407577228	6.68048702532833	1.00911107210873	38.3567491893314	-52.5613882342518	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	6.680487	10.6344754	-0.727707461782184	NA
Hspb8	3.524358192705	3.83883728981808	21.7069059480682	3.11208720361661	4.68828677681675	1.0266886197988	33.8041293233199	-43.4561485022288	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.6882868	21.7069059	0.726750086201467	NA
Rps6ka5	3.11909223677911	2.7234736354977	16.6757447113673	3.44990906793353	4.10834273261721	1.00432855820361	50.196843415668	-76.241576686925	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.1083427	16.6757447	-0.726435432435835	NA
Cradd	2.20732849270422	1.82844916890975	9.98255398498523	2.5541398864312	0.480898346962988	0.936753264610373	41.7450230856612	-59.3379360269115	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	9.982554	-0.725690717521447	NA
Galk1	2.99375415819093	2.72084276817145	11.7878271806188	3.44641824712266	2.17647583045562	0.971369009727517	40.097041262276	-56.0419723801411	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.1764758	11.7878272	-0.725575478951205	NA
Hcrtr2	1.01167829776065	1.50839386300281	0.480898346962988	0.784343656094807	0.565276851940767	0.687860129743184	10.8895288885201	2.37305236737073	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	0.5652769	0.724050206908003	NA
Moxd1	2.21691244849154	2.42949779981331	13.8083583758336	1.70550668855714	4.81587554272311	1.03735601620728	42.2469967614651	-60.3418833785192	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.8158755	13.8083584	0.723991111256172	NA
Myo16	3.74606785020629	3.55109699572473	5.251858399589	4.27390725267748	0.480898346962988	0.945553129635696	21.5449258091763	-18.9377414739416	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	5.2518584	-0.722810256952747	NA
Stip1	7.1831565552248	7.47545858053988	7.89344917171839	6.75306835560545	7.43529254236401	0.981130511517509	48.5440779869349	-72.936045829459	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	7.4352925	7.8934492	0.722390224934431	NA
Kdm7a	4.77963302406037	5.02899332963952	9.97066293638371	4.30759329015733	3.39422504708196	1.00519514947822	48.6064998254789	-73.0608895065469	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.394225	9.9706629	0.721400039482184	NA
Klhl3	4.30225793545335	4.61374151151314	7.37502447346647	3.89256734190339	2.09881290243896	0.989595460840807	47.9388971100999	-71.7256840757889	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.0988129	7.3750245	0.721174169609752	NA
Aff3	4.83313064485317	5.08381312959143	12.7567727698821	4.36323255766937	6.11374235772733	1.00545073015023	52.4654038824693	-80.7786976205276	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	6.1137424	12.7567728	0.720580571922058	NA
Dmrtc1a	2.35616558643575	2.20249507575161	6.5180274676442	2.92265208665169	3.84718919228982	0.994933390632167	34.5103348138391	-44.8685594832672	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.8471892	6.5180275	-0.720157010900083	NA
Zfp810	3.29957533769529	2.96689395929637	5.90346345268339	3.68650233557955	1.78505107557515	1.03317168186	39.0667273344216	-53.9813445244324	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.7850511	5.9034635	-0.719608376283178	NA
Cep44	4.10334972554007	3.90039676896535	5.12491903039481	4.61992068210889	8.70491771169797	1.03053687234167	34.6793125093348	-45.2065148742588	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.124919	8.7049177	-0.719523913143542	NA
Rims3	7.10861911349926	7.39362885707311	15.5529799390432	6.67428323220371	4.71306565685209	1.00733527461338	38.243414296195	-52.3347184479791	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.7130657	15.5529799	0.719345624869406	NA
Fam175a	2.92158332747991	2.67319204098778	10.2497320999568	3.39242478555369	7.13740367743881	1.01601426949657	30.5747866197663	-36.9974630951217	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	7.1374037	10.2497321	-0.719232744565902	NA
Zfp648	1.40442300209773	1.65216271280019	0.520413632986296	2.37085763018594	0.480898346962988	0.823308003101324	8.25329441052641	7.64552132335809	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	0.5204136	-0.718694917385748	NA
Ccdc87	0.987612925082925	0.926177777548268	2.37604496181175	1.64469902749766	0.480898346962988	0.835452281662893	32.6187258586036	-41.0853415727964	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	2.376045	-0.718521249949394	NA
Morn1	3.18696631624232	2.85087436071094	8.22979901472793	3.56929049417095	4.88949253635695	1.04134127341754	25.0815935078949	-26.0110768713789	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.8894925	8.229799	-0.718416133460008	NA
Pkia	6.43881169919872	6.14647713975351	12.0486160176604	6.86300911381434	3.72521442561482	0.99913457119428	49.2465005975387	-74.3408910506664	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.7252144	12.048616	-0.716531974060839	NA
Ly86	3.56585530747948	3.26635267005785	13.7722432981372	3.98224828909535	5.62963522146312	1.00108141632098	35.9730553357839	-47.794000527157	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.6296352	13.7722433	-0.7158956190375	NA
Smim19	4.48417490576444	4.24215541146377	6.22826468320516	4.95661028849187	0.542337351858276	0.965546263691999	52.5595572829442	-80.9670044214775	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.5423374	6.2282647	-0.714454877028091	NA
Btbd19	3.01002929095063	2.77585814890973	4.03192918336156	3.48904345951076	18.179688398349	1.06857502577528	37.7352864358735	-51.3184627273361	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.0319292	18.1796884	-0.713185310601026	NA
Fcrls	4.32958947586507	4.63256782910512	22.0893355375663	3.92173024308337	6.02108295603441	1.01639066316786	38.1364824255678	-52.1208547067247	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	6.021083	22.0893355	0.71083758602175	NA
Fam13a	3.20607303809203	2.93216878200592	10.7410248824937	3.6423762221322	4.81076213225303	1.00853890739631	38.6726382802509	-53.1931664160908	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.8107621	10.7410249	-0.710207440126286	NA
6330409D20Rik	2.02367237220032	1.65876625874197	6.46112065867195	2.36888149152926	0.480898346962988	0.968311803445404	20.643577195572	-17.1350442467331	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	6.4611207	-0.710115232787293	NA
Btbd17	4.21940228389356	4.44136237157761	11.644991789067	3.73131922287197	5.81088589813596	1.00522285231036	26.8660328837563	-29.5799556231018	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.8108859	11.6449918	0.710043148705636	NA
Cfp	4.49575365398165	4.44623898861673	0.480898346962988	3.73745233631937	0.724672035746066	1.01985988266604	23.538514552745	-22.9249189610791	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	0.724672	0.708786652297356	NA
Slc25a10	3.92976083598034	3.5664970380365	17.222235168042	4.27472497244869	0.672511885025652	0.957334419240515	42.7675193891044	-61.3829286337979	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.6725119	17.2222352	-0.708227934412191	NA
Gpt	3.781027406242	4.05328813544485	2.67271313523315	3.34543218222916	4.90888184075143	0.944772760000114	39.9178026607186	-55.6834951770263	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.6727131	4.9088818	0.707855953215684	NA
Arrdc1	3.69402955917607	3.4291593013964	7.3943594104271	4.13635902774311	3.71422467701139	1.01280951235109	44.5208807011235	-64.8896512578361	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	3.7142247	7.3943594	-0.707199726346707	NA
Rtbdn	1.90580095269268	1.5785418267506	13.8953280265322	2.28572017973156	8.21555754163755	1.03903767709123	27.412233048049	-30.6723559516872	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	8.2155575	13.895328	-0.707178352980961	NA
Nrep	6.59914645345318	6.38380934273077	2.55248503456569	7.09058951562709	0.480898346962988	0.99180743009368	36.879883022477	-49.6076559005431	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	2.552485	-0.70678017289632	NA
Arsg	3.27014737963868	3.04445968340051	6.94142950237789	3.7511919766995	0.480898346962988	0.935293460434109	13.4271199357655	-2.70212972712014	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	6.9414295	-0.706732293298991	NA
Tpm4	4.76340289658193	5.11128314129487	14.7193870378319	4.40458475704494	1.32169840162636	1.02110815701275	43.2942026392361	-62.4362951340614	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.3216984	14.719387	0.706698384249939	NA
Mypn	1.20248129274267	0.883192588316051	11.4299749163976	1.58927772740227	5.8624227543866	1.05225832511405	35.1204747682295	-46.0888393920482	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.8624228	11.4299749	-0.70608513908622	NA
Spry3	2.57230423751981	2.87206518570164	0.480898346962988	2.16638411348188	0.659307495503177	0.910260931294018	36.1223050751548	-48.0925000058987	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	0.6593075	0.705681072219766	NA
Zfyve28	4.56357359085199	4.41394241481721	6.21417219138159	5.11896641733913	1.37057515572393	0.971815633336248	57.4147340130005	-90.67735788159	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.3705752	6.2141722	-0.705024002521914	NA
Atg10	3.47340479693719	3.28985102567605	7.22249622840953	3.99380876758269	4.17079605483888	1.00182082388442	44.6969866492798	-65.2418631541488	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.1707961	7.2224962	-0.703957741906647	NA
Fancg	3.88726956091437	3.59917839358384	9.40562536626876	4.3025910330753	4.79375119247268	1.01550248178841	42.0673556133891	-59.9826010823672	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.7937512	9.4056254	-0.703412639491456	NA
Cmc2	4.5890003613032	4.94111313985086	8.44208453185161	4.23880920105904	0.540838761816613	1.02463920791939	49.50827626576	-74.8644423871091	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.5408388	8.4420845	0.702303938791821	NA
Bhmt2	0.819139803515416	0.463151246460426	20.3178449460762	1.16542020287456	6.48447764324531	0.996633285904511	40.1998640269217	-56.2476179094326	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	6.4844776	20.3178449	-0.702268956414129	NA
Zfp882	2.82789555290065	3.17180175836202	12.1786467312012	2.47037896572833	1.63967310586619	1.01369479787024	29.2664318891463	-34.3807536338817	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.6396731	12.1786467	0.701422792633688	NA
Hyou1	5.76162397484444	6.12002772354102	7.11201447454676	5.41906864451903	0.480898346962988	1.01785135582921	38.6063972368953	-53.0606843293796	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	7.1120145	0.700959079021994	NA
Sh2d3c	4.13914301897177	4.1184123461513	0.480898346962988	4.81927380902062	0.480898346962988	0.993649348509293	21.1614853029331	-18.1708604614554	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	0.4808983	-0.700861462869314	NA
Zfand1	4.98651425441838	4.8146731445724	2.42424529719709	5.51502183105668	4.14745940623927	1.02277934764176	54.360036326094	-84.5679625077771	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.4242453	4.1474594	-0.700348686484275	NA
Tgfb3	3.23733993423123	3.42358789826771	5.52670356235889	2.72413410537221	2.86670323819928	0.994022100155884	48.6500423745933	-73.1479746047758	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	2.8667032	5.5267036	0.699453792895497	NA
Gm13416	1.37987430885418	1.97102327193934	1.76612689747586	1.2720705175834	0.480898346962988	0.777975157313375	4.7878828500119	14.5763444443871	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	1.7661269	0.698952754355936	NA
Ceacam1	2.21161100902312	2.17643051407664	6.9769998178441	1.47761952981653	4.47230401666826	1.09401759785391	36.37523054959	-48.5983509547691	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.472304	6.9769998	0.698810984260111	NA
Ptpn21	2.35508885331097	2.10758884624652	0.480898346962988	2.80634408847695	1.77737911642909	1.10742174195019	16.9316889468162	-9.71126774922157	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	1.7773791	-0.698755242230425	NA
Rad18	2.34153347555308	2.10038145327399	7.72784131829703	2.79816499705108	6.0134290303074	1.03559710121943	30.3135185680265	-36.4749269916422	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	6.013429	7.7278413	-0.697783543777093	NA
Fastkd5	2.68189097304198	3.08550629491189	4.96431223278717	2.3880626871354	1.82640115201011	0.925572133022796	20.1356341978524	-16.119158251294	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.8264012	4.9643122	0.697443607776489	NA
Cdyl	2.83815824275251	3.22365933246995	13.3446730171317	2.52675321970535	4.36963198108925	0.973419069986556	41.1895366256728	-58.2269631069347	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.369632	13.344673	0.696906112764598	NA
Bcl2	3.10178283692181	3.25945043858526	3.97899674614386	2.56430978391523	0.954311970084526	1.02896934055159	44.3627406402175	-64.573371136024	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.954312	3.9789967	0.695140654670027	NA
Nol3	3.86848882093487	3.55544700871429	18.2043707081081	4.25042455608817	5.22462787415587	0.991380054985541	40.769764084994	-57.387418025577	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.2246279	18.2043707	-0.694977547373881	NA
Ttbk1	5.46223643045227	5.66279100878708	5.56056939539176	4.96784360983654	5.2190636504435	0.985364360681307	44.6241779079117	-65.0962456714125	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	5.2190637	5.5605694	0.694947398950542	NA
Zfp945	4.47427825873732	4.23273461153577	9.05166027683204	4.92757571598857	0.997508619790338	0.968836258266029	41.1214929246568	-58.0908757049028	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.9975086	9.0516603	-0.694841104452797	NA
Myo1a	0.364654126585165	0.40322642768366	4.70825884731857	-0.290712143974913	4.80477502620655	1.22123440741396	38.6806246247499	-53.209139105089	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.7082588	4.804775	0.693938571658573	NA
Bbs12	1.75225774313426	2.06428921289901	14.1459029508266	1.37138536188183	7.80148541808606	0.971297575498746	34.5412020277087	-44.9302939110064	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	7.8014854	14.145903	0.692903851017173	NA
Rwdd3	2.77713016427555	2.51424087217822	4.85876039901383	3.20623264938854	4.65361464134731	1.05600695262681	43.9610663532594	-63.7700225621079	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.6536146	4.8587604	-0.69199177721032	NA
Zdhhc15	2.13430959474597	1.85526248930118	12.5003331217583	2.54725331031744	6.60809418564658	1.01133468547308	40.5819934086853	-57.0118766729597	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	6.6080942	12.5003331	-0.69199082101626	NA
Zmiz1	5.84617509398777	6.16096182701621	11.0290145427362	5.46995928975249	0.613663178326743	1.02758168982333	39.5716223985117	-54.9911346526126	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.6136632	11.0290145	0.691002537263717	NA
Dusp11	6.58000288595098	6.67200292900895	6.95121973116581	5.98111433082457	1.43563804335952	1.02809670586086	39.3971994572145	-54.642288770018	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	1.435638	6.9512197	0.690888598184381	NA
Zfhx2	4.8782357502065	5.01003918435946	4.45204372902118	4.32027030762541	4.47284570703278	0.98936560596728	47.9637457329767	-71.7753813215425	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	4.4520437	4.4728457	0.689768876734047	NA
Cdk2ap2	4.43034793309533	4.68487226364529	5.48793410291208	3.99545015348857	0.480898346962988	1.03472826407921	34.6271051791797	-45.1021002139485	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	5.4879341	0.689422110156722	NA
Zfp169	3.68582836329277	3.84778346036584	0.480898346962988	3.15836396722189	2.03350219452878	0.961574370729905	29.7365792854515	-35.3210484264921	0	CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH	0.4808983	2.0335022	0.689419493143959	NA
